kind,label,seed_a,step_a,seed_b,step_b,layer,family,module,cosine,diff_fro,fro_a,fro_b,rel_norm_change,rel_diff_fro,d_eff_rank,d_energy_share,d_rank90
within_seed,seed1 2k->selected(4000),1,2000,1,4000,8,mlp,down_proj,0.8863305643,0.01893281389,0.03030952836,0.03957144327,0.3055776651,0.6246489113,-0.7987794462,0.0007986503017,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,9,attention,q_proj,0.8414735429,0.01499936858,0.02014132363,0.02727099218,0.3539821259,0.7447061999,1.116130944,0.0004699365098,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,9,attention,k_proj,0.8393855916,0.005661287337,0.007306602134,0.01016767206,0.3915732476,0.7748180663,0.8336032194,7.42152734e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,9,attention,v_proj,0.8719337771,0.006222681565,0.008963896032,0.01222715909,0.3640451704,0.6941938575,-0.7555726504,9.801480644e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,9,attention,o_proj,0.8747148297,0.01634193312,0.02489320246,0.03279779531,0.3175402147,0.6564817502,0.2112495285,0.0005823764433,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,9,mlp,gate_proj,0.8443294098,0.03893915034,0.04945201975,0.07028683759,0.4213137895,0.7874127394,-0.413328,0.003858982053,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,9,mlp,up_proj,0.872189716,0.03918698564,0.05923620316,0.07804674839,0.3175515011,0.6615377684,0.1233299397,0.003297976393,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,9,mlp,down_proj,0.8970068134,0.01880845352,0.03260385396,0.04133174187,0.2676949764,0.5768782289,-0.5929589367,0.0006914615432,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,10,attention,q_proj,0.8681105774,0.0162496407,0.02339981926,0.03167773505,0.3537598175,0.6944344533,0.8586146106,0.0006335503864,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,10,attention,k_proj,0.8563545498,0.006145980972,0.00851116613,0.01158467535,0.3611149367,0.7221079789,1.133562363,8.706532309e-05,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,10,attention,v_proj,0.8757793894,0.006348819545,0.009457278112,0.01269463482,0.3423137893,0.6713157284,-0.1560720017,9.729031312e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,10,attention,o_proj,0.8828798797,0.01693813596,0.02732352819,0.03518066965,0.2875595496,0.6199102783,-0.01427358496,0.0005707167787,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,10,mlp,gate_proj,0.8501435889,0.0394103199,0.05241101959,0.07269183482,0.3869570825,0.751947209,-0.371776915,0.003739520868,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,10,mlp,up_proj,0.8792665325,0.03941660851,0.05907026149,0.07954251514,0.3465746238,0.6672834607,-0.1973191355,0.003885314666,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,10,mlp,down_proj,0.9043659979,0.01877225903,0.03388333597,0.04261402034,0.2576689727,0.5540262934,-0.3454667399,0.0006815274589,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,11,attention,q_proj,0.8787243196,0.0170087636,0.0241563566,0.03373056064,0.3963430496,0.7041112979,-0.4494350454,0.0008286181647,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,11,attention,k_proj,0.8729998229,0.006265350128,0.008686448949,0.01219912979,0.4043862874,0.721278645,0.1007989037,0.0001109626,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,11,attention,v_proj,0.887851576,0.006256780743,0.009846303246,0.01305727986,0.3261098642,0.6354446523,0.1134602894,9.604647135e-05,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,11,attention,o_proj,0.8871612664,0.01722141603,0.02788468576,0.03618376506,0.2976214034,0.6175940508,-0.1068069598,0.0006398133103,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,11,mlp,gate_proj,0.8650761654,0.03904675272,0.05576343665,0.07548203107,0.3536115347,0.7002214186,-0.05773689699,0.003595147768,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,11,mlp,up_proj,0.8780435352,0.03847654977,0.06076139217,0.07854723958,0.2927162591,0.6332400953,0.1760335083,0.002932596766,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,11,mlp,down_proj,0.9174883911,0.01769487091,0.03567815523,0.04330366644,0.2137305349,0.4959581232,-0.2912742274,0.0004452729493,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,12,attention,q_proj,0.8772018127,0.01923305486,0.02649703712,0.03766774368,0.4215832325,0.725856811,-0.5765941256,0.001109104386,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,12,attention,k_proj,0.8632770112,0.006229279975,0.008623059329,0.01190068357,0.3800999287,0.7223979028,0.7486078334,9.805843988e-05,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,12,attention,v_proj,0.8934561767,0.006089965831,0.0102678004,0.01315115416,0.280815135,0.5931129933,0.1873351906,7.649329629e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,12,attention,o_proj,0.8982319038,0.01696524168,0.02916702668,0.03731085029,0.2792133628,0.5816582494,-0.2880926747,0.0006094055207,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,12,mlp,gate_proj,0.8710029166,0.0384390393,0.05669808318,0.07587355033,0.3382030938,0.6779601204,-0.2355426959,0.003417291506,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,12,mlp,up_proj,0.8898703355,0.03714145163,0.06230224051,0.07934935323,0.2736195775,0.5961495338,-0.001448639471,0.002656084141,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,12,mlp,down_proj,0.9181171251,0.01829688031,0.03551791943,0.04429891705,0.2472272522,0.5151450479,-0.5870600317,0.0006747823358,-1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,13,attention,q_proj,0.8560883396,0.01682102108,0.02307945316,0.03161832732,0.3699773173,0.7288310067,0.305363523,0.000669151905,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,13,attention,k_proj,0.8481625283,0.00638545914,0.008477870792,0.01172985245,0.3835847155,0.7531913728,-0.1414331869,9.63384314e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,13,attention,v_proj,0.8900754399,0.00602624195,0.01061281313,0.01303988842,0.2286929264,0.5678270102,0.35145117,4.864081305e-05,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,13,attention,o_proj,0.9094049725,0.01646990693,0.03059703287,0.0382804877,0.2511176445,0.5382844474,0.3526163328,0.000521188317,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,13,mlp,gate_proj,0.8731888864,0.03742039135,0.05804832557,0.07517929523,0.2951156557,0.6446420458,0.04477470098,0.002723534775,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,13,mlp,up_proj,0.9003190976,0.03666220892,0.06497858203,0.08183216918,0.2593714208,0.564219898,0.08147140479,0.002547031097,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,13,mlp,down_proj,0.9315730577,0.01642818021,0.03724606717,0.0439994443,0.1813178582,0.4410715401,-0.3988727499,0.0002434581529,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,14,attention,q_proj,0.8712235267,0.01550134763,0.02392826605,0.0309622913,0.2939630155,0.6478257806,0.6044128393,0.0004589448966,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,14,attention,k_proj,0.8815118842,0.005864824263,0.009310776852,0.01208952471,0.2984442545,0.6298963402,1.041013066,7.174931987e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,14,attention,v_proj,0.8988255729,0.005754874714,0.01078729794,0.01297663826,0.2029553954,0.5334862119,0.6354932456,3.390108108e-05,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,14,attention,o_proj,0.9199777524,0.01462237432,0.02990931176,0.03625499353,0.2121640852,0.4888903642,0.04844347615,0.0003052879071,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,14,mlp,gate_proj,0.890841374,0.03639490583,0.06236028768,0.0783989843,0.2571940768,0.5836231226,0.4513954204,0.002298057729,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,14,mlp,up_proj,0.904348457,0.03534820087,0.06849627215,0.08181600633,0.1944592568,0.5160602141,0.08383513676,0.001152276411,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,14,mlp,down_proj,0.9441896629,0.01417193129,0.03821975554,0.04259390199,0.1144472639,0.3708012018,-0.07354072598,-0.0002471747277,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,15,attention,q_proj,0.8807447921,0.0145192115,0.02452037827,0.03031136674,0.2361704379,0.5921283652,0.3797524692,0.0002845357156,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,15,attention,k_proj,0.8730844092,0.005413529144,0.008659496401,0.01094870773,0.264358483,0.625155193,0.5850641118,4.735459862e-05,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,15,attention,v_proj,0.9169037631,0.00551849745,0.01132781123,0.01355102753,0.1962617719,0.4871636134,0.5432915306,3.275642813e-05,1
